AU,Average,Variance,Std Dev
AU06_R,0.8587940630797775,0.2700972453112658,0.5197088081909578
AU07_R,0.34287569573283855,0.0809885693161153,0.2845849070420202
AU09_R,0.07885590599876313,0.02441236598149611,0.15624457104647224
AU10_R,0.1994124922696351,0.08824340462107434,0.29705791459086617
AU12_R,0.24628324056895487,0.11985406081424468,0.3461994523598278
AU14_R,0.1430674087816945,0.04555803567601658,0.21344328444815636
AU15_R,0.19915275200989485,0.07597954162763215,0.2756438673862202
AU17_R,0.6143228200371058,0.23585475463362665,0.48564879762398944
AU20_R,0.11600494743351886,0.032889475223032504,0.18135455666465208
AU23_R,0.12232529375386517,0.04923914411849348,0.22189895024198172
AU25_R,0.5812430426716141,0.35208836725509285,0.5933703457833841
AU26_R,0.4060111317254174,0.23617634393541398,0.4859797772905926
AU45_R,0.1878787878787879,0.07214642589258927,0.2686008672595628
AU01_R,0.12697247706422018,0.024911351778619154,0.1578333037689421
AU02_R,0.0727650356778797,0.01674302813226995,0.12939485357721903
AU04_R,0.17493374108053006,0.04862133132110144,0.2205024519616538
AU05_R,0.053139653414882776,0.013251521659426113,0.11511525380863352
AU06_R,1.421962283384302,0.19262607453936806,0.43889187112473166
AU07_R,0.99440876656473,0.23423087645639315,0.48397404523010645
AU09_R,0.05523445463812437,0.008775856309388968,0.09367954050585948
AU10_R,0.2868323139653415,0.10037403152245455,0.31681860981081045
AU12_R,0.34981906218144754,0.11747427263169737,0.34274520074203424
AU14_R,0.0038583078491335374,0.0021682858065674524,0.04656485591696223
AU15_R,0.21689092762487255,0.07997014257380154,0.28278992657766566
AU17_R,0.6597782874617738,0.29162113359930963,0.5400195677929732
AU20_R,0.12171508664627931,0.027931572130224458,0.16712741286283486
AU23_R,0.11232415902140674,0.04056324335195636,0.20140318605214855
AU25_R,0.5042329255861365,0.21161335485751065,0.46001451592043335
AU26_R,0.4397375127420999,0.16153709651749285,0.401916778099015
AU45_R,0.1893323139653415,0.0885646318283429,0.2975981045442711
